Processed in Sink as enumerable: (UserId, user:5375; photo:17979; lat:; long:, 1642352927187)
Processed in Sink as enumerable: (UserId, user:5135; photo:17979; lat:; long:, 1642352927187)
Processed in Sink as enumerable: (UserId, user:5251; photo:17979; lat:; long:, 1642352927187)
Processed in Sink as enumerable: (UserId, user:5254; photo:17979; lat:; long:, 1642352927187)
Processed in Sink as enumerable: (UserId, user:8291; photo:110387; lat:12; long:105, 1642352927201)
Processed in Sink as enumerable: (UserId, user:5353; photo:100043; lat:25.5; long:69.22, 1642352927202)
Processed in Sink as enumerable: (UserId, user:5159; photo:100043; lat:; long:, 1642352927202)
Processed in Sink as enumerable: (UserId, user:5254; photo:100043; lat:; long:, 1642352927202)
Processed in Sink as enumerable: (UserId, user:4387; photo:187189; lat:24.766666; long:125.316666, 1642352927207)
Processed in Sink as enumerable: (UserId, user:4541; photo:187189; lat:; long:, 1642352927207)
Processed in Sink as enumerable: (UserId, user:4617; photo:187189; lat:; long:, 1642352927207)
Processed in Sink as enumerable: (UserId, user:4377; photo:187189; lat:; long:, 1642352927207)
Processed in Sink as enumerable: (UserId, user:4210; photo:187189; lat:; long:, 1642352927207)
Processed in Sink as enumerable: (UserId, user:4217; photo:187189; lat:; long:, 1642352927207)
Processed in Sink as enumerable: (UserId, user:4326; photo:187189; lat:; long:, 1642352927207)
Processed in Sink as enumerable: (UserId, user:5019; photo:150773; lat:-16; long:-48, 1642352927223)
Processed in Sink as enumerable: (UserId, user:5081; photo:150773; lat:; long:, 1642352927223)
Processed in Sink as enumerable: (UserId, user:5082; photo:150773; lat:; long:, 1642352927223)
Processed in Sink as enumerable: (UserId, user:4284; photo:102793; lat:39; long:69, 1642352927230)
Processed in Sink as enumerable: (UserId, user:4365; photo:102793; lat:; long:, 1642352927230)
Processed in Sink as enumerable: (UserId, user:4369; photo:102793; lat:; long:, 1642352927230)
Processed in Sink as enumerable: (UserId, user:3874; photo:102793; lat:; long:, 1642352927230)
Processed in Sink as enumerable: (UserId, user:3879; photo:102793; lat:; long:, 1642352927230)
Processed in Sink as enumerable: (UserId, user:559; photo:72660; lat:36; long:140, 1642352927250)
Processed in Sink as enumerable: (UserId, user:616; photo:72660; lat:; long:, 1642352927250)
Processed in Sink as enumerable: (UserId, user:618; photo:72660; lat:; long:, 1642352927250)
Processed in Sink as enumerable: (UserId, user:461; photo:72660; lat:; long:, 1642352927250)
Processed in Sink as enumerable: (UserId, user:464; photo:72660; lat:; long:, 1642352927250)
